recommended,overall,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,airline,traveller_type,cabin,year_flown,month_flown,aircraft_0,aircraft_1,aircraft_2,src,dst,via,verified,review_text
no,2,2,2,1,1,1,3,Vueling Airlines,Couple Leisure,Economy Class,2022,8,A320,,,BCN,PMO,,,Flew Barcelona to Palermo and return ten days later with Vueling Airlines. Chalk and cheese. First aircraft told it would be eight hours delayed at check in. Checked this again and it was confirmed. Nearly left the airport. Fortunately did not and went through to the gate as plane was only one hour delayed. Iberia who code shared said everything was ok but Vueling check in staff completely wrong. Plane took ages to load. Have never experienced a smaller seat. Broken arm rest with sharp edges. Pointed it out to staff. Just shrugged. Seat in front clearly leaning back and unable to be put properly upright. Others like it around plane. Far too much hand luggage allowed on board. A shambles. The return. A brand new or near new 320. New style seats. A sense of more room. Staff clearly happier to be on board and basically on time although still far too much hand luggage. Believe I have to fly them again soon as code share on a BA ticket. BA should find better partners.
no,4,3,3,2,1,4,2,British Airways,Solo Leisure,Economy Class,2022,8,747-400 , A319,,Washington,Frankfurt,London,True," Washington to Frankfurt via London. Check-In at Dulles Airport was smooth. I asked the agent if it was possible to get a window seat and she did, even though at the online check-in there was none available. Boeing 747-400 was 27 years old, the IFE was the size of my wallet and the quality was incredibly bad. The seats were ok, pretty standard but they had a head rest which was good. My seat was 27A and I had the whole row for myself. Unfortunately a crew member shortly before take-off told me that another passenger had issues with his IFE and they would replace him on 27C. Shortly after take-off the service began. There were 2 food options available. Chicken and vegatarian lasagne, I went for the Lasagne which was ok, nothing special. It came with a salad, a bread bun and a black forest cake. All in all an ok meal, nothing to complain about. The crew distributed 2 mini cans of soda which was a bit unsatisfying. After dinner the crew dimmed the lights and we were supposed to close the window shades for the people who wanted to sleep. I tried to watch some movies (the selection was ok) which was hard on this miniature IFE. In the morning the crew served orange juice and before landing a pretzel with cheese and a small water bottle. Connecting in Heathrow is pretty easy (in T5) there are signs everywhere! Security went fast. There is a huge quiet zone with battery chargers and free WIFI. We boarded again in groups which was good to avoid crowds. BA started to do a buy-on-board service which I hate. However I thought the pricing was ok."
no,3,1,4,1,1,3,1,British Airways,Business,Business Class,2022,7,767,,,Istanbul,London,,,"Same tired plane back to London. Ground and cabin staff were friendly, pleasant and helpful. A first on this series of flights. Flew on the same plane on the way from LHR to IST (see other recent reviews). Moved to row 1 for more space. Still sub-standard and why, why put economy seats in business class? Lounge was crammed and noisy pre-flight. I joined Star Alliance as a Gold Member so at least got to see the Miles and Smiles lounge. BA, look around don't rest on last century's efforts. I've flown BA First but just wouldn't any more. Responding to Skytrax reviews may just help increase profits. I must say, apart from the cheery crew on BA 677, the polite but totally disinterested service (when it exists) and old, cramped cabins will be my memory of this business trip."
no,5,1,2,3,3,3,4,American Airlines,Couple Leisure,Economy Class,2022,4,787-8,,,Chicago,Rome,,False," Chicago to Rome. American Airlines, never again to be used on a Transatlantic flight. My partner and I traveled from Chicago to Rome on April 8 and even though I was charged almost $200 more to just be seated together on the only few two seaters available on this flight, it turned out to be the trip from purgatory. The FA kept hitting my shoulder all night long as she was walking back and forth down the aisle. I asked if they had a self service cart with juice/water and snacks in the back galley like most civilized airlines do and the told me it was not the case on this flight. The meal was really average nothing to scream alleluia about. I will truly go out of my way to avoid this company when flying overseas. Why do they call this aircraft the Dreamliner? Perhaps if you travel in First or Business - not so in regular economy. Very disappointed indeed."
no,4,2,4,3,1,1,3,American Airlines,Family Leisure,Economy Class,2022,3,737-700,,,MEX,MIA,,True," Mexico City to Miami with American Airlines. Check in at the airport was chaotic, very inefficient. When the plane arrived after it was delayed I saw that it had new livery, I assumed it was a new plane - but to my surprise it was an old plane on the inside. Legroom was horrible you could barely move your legs. The only thing they offer is some complementary beverages, if you want anything to eat you have to pay for it. Entertainment system is horrible, the wifi only works on continental America as soon as you leave Florida you are left only with the TV shows of the general entertainment system."
yes,10,5,5,5,5,4,5,American Airlines,Solo Leisure,First Class,2022,10,777-200,,,LHR,STL,ORD,,"London Heathrow to St Louis via Chicago with American Airlines. The flight was awesome with the attendants all performing their jobs wonderfully. The food was very good as well with, considering it was breakfast, very well sized portions. Even though it is an older product, the flight was very comfortable indeed."
no,5,3,3,2,3,2,3,Ethiopian Airlines,Family Leisure,Economy Class,2022,1,787-800,,,EBB,YYZ,ADD,,"In comparison to travel time and jet lag, Ethiopian Airlines is one of the best airlines to use. However, great improvement is needed in the food services, we were served the same dish 4 times from Entebbe to Toronto. This is not acceptable by any standard. Secondly the airport connection in Addis is very chaotic without any notification from the airport staff, passengers have to figure their own way out. The seats on the 787 are comfortable enough but if the airline does not take care, in a few months the electronics may fall apart. The management must ensure that they improve the friendliness of stewards towards the passengers and try to get to the standards of the other International airlines in order to make a bigger name in Africa."
yes,9,5,5,5,5,5,5,South African Airways,Family Leisure,Economy Class,2022,8,A330-200,,,Johannesburg,Abu Dhabi,,,"Flew SA278 JNB-AUH A330-200. IFE excellent, food quite good. Cabin crew extremely friendly and helpful.Seats very comfortable. I was disappointed that there wasn't a USB port to charge my device but overall a very pleasant experience and will fly with them again."
yes,10,4,5,3,3,5,5,Vueling Airlines,Business,Economy Class,2022,7,A321,,,Paris Orly,Palma de Mallorca,,True," Paris Orly to Palma de Mallorca. This flight was part of a group reservation. I did the contacts with the company for every step in our booking. I was impressed by the quality and the assistance offered. I have to say that I had my fears based in my prior experiences flying alone, but on this case I have to score them with the maximum punctuation. The flight was very good, we embarked with 20â€™ delay due to late arrival of the plane from Ibiza, but we recovered time on flight and we arrived on time to Palma. A new A321 configured with the new seats has proper space for legs including travelling in the last rows. Service during the flight was good, flight attendants doing a very good job. Vueling has no free service, so food and refreshments have to be paid. Checking and control at Orly airport was smooth. The worst is the hall 1 of the airport, really small for such big number of flights departing from this area that make a mess the boarding. Impossible to understand what the personal said through the speakers because the bad quality of the sound, but this is a problem of the airport and not of Vueling. All in all an excellent flight with Vueling."
yes,10,5,5,5,5,5,4,Cathay Pacific Airways,Couple Leisure,Business Class,2022,12,A330,,,ADL,HKG,,,"Adelaide to Hong Kong with Cathay Pacific Airways in December 2015. The flight was excellent, seats are great, the crew was efficient, pleasant and attentive. I thought the food was good and particularly enjoyed the pork noodle dish served for breakfast. Had the barramundi for lunch which was delicious as well. The IFE screen is a good size, touch screen was a bit slow to respond. A very enjoyable flight, highly recommended."
no,1,2,1,1,1,1,1,Air China,Couple Leisure,Economy Class,2022,11,777,,,HKG,LHR,PEK,,"Outbound flight from London was poor, the return was in a word ""awful"". Late departure from Beijing (75mins) but not a word of apology from crew. Boarding by remote gate and long bus ride, twice the number of passengers on bus as there should have been, but that's Chinese safety! Cabin staff were seen to talk with a few Chinese passengers but they just scowled at us westerners. Asked for coffee 3 times and it never came, water was served lukewarm and no beer or wine was available - a simple ""no"" was the answer twice! This flight was cheap, but not cheap enough for what was awful service, surrounded by very noisy travellers - they shout across the middle aisles, walk around when seatbelt sign is on and staff just ignore it. Onboard entertainment kept freezing up on screen, staff are angry when you ask about it - but hey, the programmes available were rubbish so I didn't really miss out on anything. Never again, and for a little more will go back to Emirates or Qatar Airways."
yes,8,2,3,2,1,4,4,Spirit Airlines,Solo Leisure,Economy Class,2022,12,A320,,,New York,Chicago,,True," New York to Chicago. No better value for short flights if you know how to put their 9-dollar club membership to good use. My latest 3 flights between NYC and Chicago cost 48, 50 and 68 dollars round-trip, respectively. I fly a lot and mostly for a few days at time so a large backpack is sufficient and is always free. On short flights I don't need food or drinks but you can buy whatever you need before boarding. Yes, Spirit charges 2 dollars for bottomless coffee and 2 dollars for a bottle of water. I think I can live with that. I've seen a review where a traveler paid a little over 100 dollars for a flight but ended up spending 600 with ""hidden"" fees - there are no hidden fees. All their fees are advertised on the website. If I occasionally do need to check a bag, I pay 26 dollars each way (at time of booking). It's a few dollars more afterward. It's straightforward and easy. Fastest growing airline in the US. Youngest fleet in the US. Best on-time performance in the US. H"
no,3,3,1,3,5,1,2,Turkish Airlines,Business,Business Class,2022,10,A330-300,,,Singapore,Kiev,Istanbul,,"I am a Emerald One World member. I fly weekly. I flew to Kiev on TK as it was the most direct carrier. On my way back from Kiev I had a 2 day stop over in Istanbul. To be honest I didn't want to visit Turkey as the experience with every staff member from check in, gate, cabin crew was terrible. The same experience on the return. Ignore call button, any request from anyone on the flight was an inconvenience. Didn't provide water regularly on an 11 hour flight. Fortunately this airline doesn't represent the people of Turkey. To the Govt. of Turkey, your legacy carrier is letting you down. To any One World members, you will be glad you are not a Star Alliance member.."
yes,6,5,3,2,4,2,4,Norwegian,Couple Leisure,Economy Class,2022,6,737-800,,,LGW,DBV,,,"Flew Norwegian from Gatwick to Dubrovnik on the 15/06/2016 returning on the 25/06/2016. The flight out was excellent - welcomed by crew, had snacks, free wi-fi and arrived over 20minutes early. The return flight no welcome, and on going to our seats somebody was sat in them, there was a cabin crew member stood there who said nothing, it was the person sat in our original seat who told us to into the row behind as he had a prosthetic limb, and could not sit in the emergency exit seats behind surely this was the cabin crews job to tell us about this. Shortly into our journey we had a bit of turbulence so the seat belt sign came on and stayed on a very long time the turbulence only lasted about 10minutes. Eventually the trolley service started and when it reached us in row 14 no sandwiches left. We arrived at Gatwick approx 20 minutes late and then to wait 20minutes for a stand and when we did get a stand crew not interested in saying goodbye - poor return crew."
yes,10,5,5,5,5,5,5,Cathay Pacific Airways,Family Leisure,Economy Class,2022,4,777-300ER,,,Chicago,Bangkok,Hong Kong,True," Chicago to Bangkok via Hong Kong. Cathay Pacific was higher than my expectations. The ground staff at Chicago and Hong Kong were very friendly and helpful. On the Boeing 777, the seats were very comfortable with an adjustable head rest and amazing recline. The cabin crew were very friendly and happy to help us at times. The food service on board was exquisite. They have a huge menu consisting of many vegetarian and non-vegetarian meals, such as shrimp, basa fillet, and lasagna. The entertainment system on board is very modern and has some of the most popular and recent movies, however, even with the entertainment system, I was still unable to complete school work because WiFi is only available on the A350, but overall, Cathay Pacific exceeded my expectations and I would definitely fly with them again."
yes,10,4,5,5,5,5,5,Turkish Airlines,Family Leisure,Economy Class,2022,2,777-300ER,,,ZRH,LAX,IST,True," Zurich to Los Angeles via Istanbul with Turkish Airlines. Great price, awesome food and cabin service, smooth flight and on time. Very easy change of flights in Istanbul. I'd choose Turkish Airlines again to fly ."
no,1,1,1,1,1,1,2,British Airways,Solo Leisure,Economy Class,2022,9,777,,,JFK,Manchester,LHR,,"I used British Airways to Hong Kong in 2012 and remember vowing to never use them again. However, as I needed to get to New York and back quickly I had to use British Airways, and I thought they may have bucked up their ideas. The flight to NYC was on a Boeing 747 which really did need an uplift, the seats and decor was tired and the staff rude. The entertainment system was terrible and limited. On the return flight, I was on a Boeing 777 and although slightly more modern, the entertainment again was limited and the control unit didn't work. The staff were better than the previous flight. However British Airways did manage to mislay my baggage between NYC and Manchester and I received it 24hours later (battered and missing some clips and thankfully nothing broken inside). I've decided that whenever I fly eastw I'll continue using Emirates or Singapore Airlines (both of a far higher quality than British Airways) and to the USA maybe Virgin (have to be better than BA surely?). I'll never use BA again."
yes,10,5,5,5,5,5,5,Aeromexico,Family Leisure,Premium Economy,2022,9,737-800,,,Mexico City,Boston,,True," Mexico City to Boston. A very nice and quite new airplane with Boeing Sky interior, different lighting schemes that help you relax. The food was good, (free full meal including beer and spirits). AM Plus (Premium economy) was quite nice and spacious. The overhead bins had a different configuration that made the cabin more spacious too. The flight crew were quite attentive and came offering different services during the flight (meals, duty free sale, drinks and water). Used WiFi for almost three hours and allowed me to work and stay in touch with the ground. We were traveling with a baby and AeroMexico offers a baby bassinet service."
yes,9,4,5,5,4,4,5,Air France,Family Leisure,Economy Class,2022,12,777-200,,,Buenos Aires,Paris,,True, Flew Air France from Buenos Aires to Paris. Very nice flight. Travelling long haul with my 2 year old daughter alone for the first time. I got the flight with airmiles from the Brazilian airline GOL for a very good price especially considering it was the week of Christmas. I was able to use the Aerolineas Argentinas lounge at EZE which was well equipped. Boarding was efficient and having taken our seats the purser came up to introduce himself to me (I am Flying Blue Platinum) which I thought was a nice touch. Food was very nice and my daughters child meal was exceptional. Seats were for economy as good as can be with sufficient leg room for me (I am 6 feet 2). Flight was punctual. Horrendous turbulence which caused distress to some passengers which was very professionally dealt with by the crew. Recently moved to Skyteam from One World and each time I fly with Air France / KLM / Alitalia / Delta I become increasingly pleased that I did. Thanks Air France for making my Christmas happy!
no,2,3,1,1,1,2,3,South African Airways,Couple Leisure,Economy Class,2022,3,A340-600,,,New York City,Johannesburg,,True," Flew New York City to Johannesburg. Overall I could not have been more disappointed in this flight and airplane. For a 15 hour flight, the majority of the headphones jacks did not work and there was no option to use different headphones. There was no way to charge devices and no offer of internet (even at a charge). The crew was incredibly rude. We asked for water when they were serving coffee and got a strong eye roll even though water was on their cart. It was very disheartening. The food was packaged months ago and the majority of it made me nauseous from the smell. The only benefit to this flight was the cost however next time we will be paying the extra to fly Delta from Atlanta. It is time for South African Airways to update this plane or to only use it for shorter trips. It is just simply too out of date for this time of trip and is not fair to customers."
yes,8,5,5,4,4,3,4,Turkish Airlines,Business,Business Class,2022,6,A330-200,,,LOS,ATH,IST,,"Flew Business Class from Lagos to Athens via Istanbul. Had a 20 minute delay, but despite that, no other negatives. The airplane was very new and clean and Cabin Crew were very kind and welcoming. Welcome drinks made the beginning of the flight pleasant. The new entertainment system for Turkish Airlines was very nice with good movies and music even though I would have liked a wider music selection. Food was fabulous, and seat reclined into a full bed. No turbulence through the flight."
